version,code,description,release_date
"",01A,ACIDO URSODESOSSICOLICO AUROBINDO,
"",01A,URDES,
"",01A,URSOBIL,
"",01A,ACIDO URSODESOSSICOLICO DOC GENERICI,
"",01A,URSOLISIN,
"",01A,ACIDO URSODESOSSICOLICO,
"",01A,ACIDO URSODESOSSICOLICO ZENTIVA,
"",01A,DEURSIL,
"",01A,LITURSOL,
"",01A,ACIDO URSODESOSSICOLICO EG,
"",01A,LITOFF,
"",01A,URSILON,
"",01A,ACIDO URSODESOSSICOLICO MYLAN GENERICS,
"",01A,URSOFLOR,
"",01B,ACIDO URSODESOSSICOLICO,
"",01B,DEURSIL,
"",01B,LITOFF,
"",01B,ACIDO URSODESOSSICOLICO DOC GENERICI,
"",01B,URSILON,
"",01B,URSOFLOR,
"",01B,URSOBIL HT,
"",01B,ACIDO URSODESOSSICOLICO EG,
"",01B,URDES,
"",01C,URSACOL,
"",01C,ACIDO URSODESOSSICOLICO MYLAN GENERICS,
"",01C,LITURSOL,
"",01C,URDES,
"",01C,URSOLISIN,
"",01C,URSOBIL,
"",01C,DEURSIL,
"",01D,URSILON,
"",01D,DEURSIL,
"",01D,URDES,
"",02A,MESALAZINA EG,
"",02A,MESALAZINA DOROM,
"",02A,ARGONAL,
"",02A,ASAMAX,
"",02B,MESALAZINA DOROM,
"",02B,ASACOL,
"",02B,ARGONAL,
"",02D,PENTACOL,
"",02D,ASAMAX,
"",02D,ARGONAL,
"",02D,PROCTASACOL,
"",02D,PENTACOL,
"",02D,ASACOL,
"",02E,ASACOL,
"",02E,ASACOL,
"",02E,MESAFLOR,
"",02E,MESALAZINA SANDOZ,
"",02E,ARGONAL,
"",02E,ASALEX,
"",02F,ASACOL,
"",02F,ARGONAL,
"",02F,MESAFLOR,
"",02F,PENTACOL,
"",02F,PENTASA,
"",02F,MESALAZINA SANDOZ,
"",02F,ASALEX,
"",02F,LEXTRASA,
"",02F,ASACOL,
"",02G,MESAFLOR,
"",02G,CLAVERSAL,
"",02G,MESALAZINA SANDOZ,
"",02H,MESALAZINA DOROM,
"",02H,MESALAZINA DOC,
"",02H,ASALEX,
"",02H,ASACOL,
"",02H,MESALAZINA EG,
"",02H,ASAMAX,
"",02H,MESALAZINA MYLAN GENERICS,
"",02H,PENTACOL,
"",02H,ARGONAL,
"",02I,PENTASA,
"",02I,ASACOL,
"",02L,ASACOL,
"",02L,MESALAZINA MYLAN GENERICS,
"",02L,MESALAZINA DOROM,
"",02L,PENTACOL,
"",03A,CACIT,
"",03A,CALCIUM SANDOZ,
"",03A,CALCIODIE,
"",03A,CALCIO CARBONATO,
"",03A,IDRACAL,
"",04A,KLODIN,
"",04A,TICLOPIDINA ALMUS,
"",04A,TICLOPIDINA SANDOZ,
"",04A,CHIARO,
"",04A,TICLOPIDINA ALTER,
"",04A,TICLOPIDINA EG,
"",04A,FLUPID,
"",04A,CLOX,
"",04A,TICLOPIDINA AUROBINDO,
"",04A,TICLOPIDINA PENSA,
"",04A,TIKLID,
"",04A,TICLOPIDINA MYLAN GENERICS,
"",04A,TICLOPIDINA TECNIGEN,
"",04A,FLUILAST,
"",04A,FLUXIDIN,
"",04A,TICLOPIDINA DOC GENERICI,
"",04A,TICLOPIDINA DOROM,
"",04A,TICLOPIDINA GIT,
"",05A,ELAN,
"",05A,MONOCINQUE,
"",05A,ISOSORBIDE MONONITRATO DOC GENERICI,
"",05A,ISOSORBIDE MONONITRATO,
"",05C,ISOSORBIDE MONONITRATO,
"",05C,ISMO,
"",05C,ISOSORBIDE MONONITRATO DOC GENERICI,
"",05C,ISOSORBIDE MONONITRATO,
"",05C,MONOCINQUE,
"",05C,MONOKET,
"",05C,ELAN,
"",05D,MONOCINQUE,
"",05D,ISOSORBIDE MONONITRATO DOC GENERICI,
"",05D,MONOKET,
"",05D,ELAN,
"",05D,ISOSORBIDE MONONITRATO,
"",05D,ISOSORBIDE MONONITRATO,
"",05E,ISOSORBIDE MONONITRATO,
"",05E,DURONITRIN,
"",05E,ISOSORBIDE MONONITRATO,
"",05E,MONOKET,
"",05E,ISOSORBIDE MONONITRATO DOC GENERICI,
"",06A,INDAPAMIDE MYLAN GENERICS,
"",06A,INDAPAMIDE PENSA,
"",06A,IPAMIX,
"",06A,MILLIBAR,
"",06A,PRESSURAL,
"",06B,VEROXIL,
"",06B,INDAPAMIDE SANDOZ,
"",06C,INDAPAMIDE AUROBINDO,
"",06C,INDAPAMIDE DOC GENERICI,
"",06C,INDAPAMIDE MYLAN GENERICS ITALIA,
"",06C,NATRILIX,
"",07A,SOTALOLO MYLAN GENERICS,
"",07A,SOTALOLO,
"",07A,SOTALEX,
"",07A,SOTALOLO TEVA,
"",07C,RYTMOBETA,
"",07C,SOTALOLO MYLAN GENERICS,
"",08A,METOPROLOLO AUROBINDO,
"",08A,METOPROLOLO EG,
"",08A,METOPROLOLO,
"",08A,LOPRESOR,
"",08A,METOPROLOLO DOC GENERICI,
"",08C,METOPROLOLO AUROBINDO,
"",08C,METOPROLOLO EG,
"",08C,METOPROLOLO DOC GENERICI,
"",08C,METOPROLOLO ACCORD,
"",08C,SELOKEN,
"",08D,METOPROLOLO DOC GENERICI,
"",08D,METOPROLOLO,
"",08E,METOPROLOLO HEXAL,
"",08E,LOPRESOR,
"",08E,SELOKEN,
"",09A,ATENOLOLO RATIOPHARM,
"",09A,ATENOLOLO DOC GENERICI,
"",09B,ATENOLOLO ABC,
"",09B,ATENOLOLO MYLAN GENERICS,
"",09B,ATENOLOLO ZENTIVA,
"",09B,SELES BETA,
"",09B,ATENOLOLO,
"",09B,ATENOLOLO PENSA,
"",09B,ATENOLOLO,
"",09B,ATENOLOLO,
"",09B,ATENOLOLO AHCL,
"",09B,TENOMAX,
"",09B,ATENOL,
"",09B,ATENOLOLO DOC GENERICI,
"",09B,ATENOLOLO ALTER,
"",09B,ATENOLOLO AUROBINDO ITALIA,
"",09C,ATENOLOLO,
"",09C,ATENOLOLO AHCL,
"",09C,ATENOLOLO,
"",09C,ATENOLOLO AUROBINDO ITALIA,
"",09D,ATENOLOLO,
"",09D,ATENOLOLO AUROBINDO ITALIA,
"",09D,ATENOLOLO ZENTIVA,
"",09D,ATENOLOLO ALTER,
"",09D,TENORMIN,
"",09D,TENSIBLOCK,
"",09D,ATENOLOLO EG,
"",09D,ATENOLOLO RATIOPHARM,
"",09D,ATENOLOLO MYLAN GENERICS,
"",09D,ATENOLOLO ABC,
"",09D,ATENOLOLO DOC GENERICI,
