version,code,description,release_date
"",00,Procedure ed interventi non classificati altrove,
"",00.0,Terapia ad ultrasuoni,
"",00.01,Terapia ad ultrasuoni dei vasi di testa e collo,
"",00.02,Terapia ad ultrasuoni del cuore,
"",00.03,Terapia ad ultrasuoni dei vasi vascolari periferici,
"",00.09,Altre terapie ad ultrasuoni,
"",00.1,Terapia farmacologica,
"",00.10,Impianto di agenti chemioterapici,
"",00.11,Infusione di Drotrecogin alfa (attivato),
"",00.12,Somministrazione per via inalatoria di ossido nitrico,
"",00.13,Iniezione o infusione di nesiritide,
"",00.14,Iniezione o infusione di antibiotici della classe dell???oxazolidinone,
"",00.15,Infusione di Interleuchina-2 ad alte dosi (IL-2),
"",00.16,Trattamento pressurizzato di bypass venoso eseguito con farmaci,
"",00.17,Infusione di agente vasopressorio,
"",00.18,Infusione di terapia anticorpale immunosoppressiva durante la fase di induzione di trapianto di organo solido,
"",00.2,Imaging intravascolare dei vasi sanguigni,
"",00.21,Imaging intravascolare dei vasi cerebrali extracranici,
"",00.22,Imaging intravascolare dei vasi intratoracici,
"",00.23,Imaging intravascolare dei vasi periferici,
"",00.24,Imaging intravascolare dei vasi coronarici,
"",00.25,Imaging intravascolare dei vasi renali,
"",00.28,Imaging intravascolare di altri vasi specificati,
"",00.29,"Imaging intravascolare, vasi non specificati",
"",00.3,Chirurgia computer-assistita (CAS),
"",00.31,Chirurgia computer-assistita con CT/CTA,
"",00.32,Chirurgia computer-assistita con MR/MRA,
"",00.33,Chirurgia computer-assistita con fluoroscopia,
"",00.34,Chirurgia computer-assistita senza immagini,
"",00.35,Chirurgia computer-assistita con dataset multipli,
"",00.39,Altra chirurgia computer-assistita,
"",00.4,Procedure aggiuntive relative al sistema vascolare,
"",00.40,Procedure su un singolo vaso,
"",00.41,Procedure su due vasi,
"",00.42,Procedure su tre vasi,
"",00.43,Procedure su quattro o pi?? vasi,
"",00.44,Procedure sulla biforcazione dei vasi,
"",00.45,Inserzione di uno stent vascolare,
"",00.46,Inserzione di due stent vascolari,
"",00.47,Inserzione di tre stent vascolari,
"",00.48,Inserzione di quattro o pi?? stent vascolari,
"",00.5,Altre procedure cardiovascolari,
"",00.50,"Impianto di pacemaker per la risincronizzazione cardiaca senza menzione di defibrillazione, sistema totale (CRT-P)",
"",00.51,"Impianto di defibrillatore per la risincronizzazione cardiaca, sistema totale (CRT-D)",
"",00.52,Impianto o sostituzione di elettrodi transvenosi nel sistema venoso coronarico del ventricolo sinistro,
"",00.53,Impianto o sostituzione del solo pacemaker per la risincronizzazione cardiaca (CRT-P),
"",00.54,Impianto o sostituzione del solo defibrillatore per la risincronizzazione cardiaca (CRT-D),
"",00.55,Inserzione di stent medicati in vasi periferici,
"",00.56,Inserzione o sostituzione di elettrodi a pressione impiantabili per il monitoraggio emodinamico intracardiaco,
"",00.57,Impianto o sostituzione di dispositivo sottocutanei per il monitoraggio emodinamico intracardiaco,
"",00.6,Procedure sui vasi sanguigni,
"",00.61,Angioplastica percutanea o aterectomia di vasi precerebrali extracranici,
"",00.62,Angioplastica percutanea o aterectomia dei vasi intracranici,
"",00.63,Inserzione percutanea di stent nell??? arteria carotidea,
"",00.64,Inserzione percutanea di stent in altre arterie precerebrali (extracraniche),
"",00.65,Inserzione percutanea di stent vascolari intracranici,
"",00.66,Angioplastica percutanea coronarica transluminale (PTCA) o aterectomia coronarica,
"",00.7,Altre procedure sull???anca,
"",00.70,"Revisione di protesi d???anca, sia acetabolare che dei componenti femorali",
"",00.71,"Revisione della protesi d???anca, componente acetabolare",
